Comm&Mgmt,Others,Sci&tech,Art,Commerce,Science,gender,ssc_b,hsc_p,degree_p,workex,etest_p,specialisation,mba_p,status,salary
0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.8896210873146622,0.19512195121951237,0.0,0.10416666666666674,1.0,0.2844827586206895,1.0,270000.0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6808896210873145,0.6702439024390245,1.0,0.7604166666666667,0.0,0.5648425787106448,1.0,200000.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5107084019769357,0.3414634146341464,0.0,0.5208333333333335,0.0,0.24700149925037485,1.0,250000.0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.2471169686985173,0.04878048780487809,0.0,0.3333333333333335,1.0,0.3080959520239879,0.0,288655.4054054054
1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6029654036243821,0.5682926829268293,0.0,0.9750000000000001,0.0,0.16079460269865065,1.0,425000.0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.2108731466227347,0.4207317073170733,1.0,0.10416666666666674,0.0,0.013868065967016285,0.0,288655.4054054054
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.20098846787479407,0.7073170731707319,0.0,0.5058333333333334,0.0,0.07796101949025469,0.0,288655.4054054054
0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.4448105436573311,0.3902439024390245,1.0,0.35416666666666674,0.0,0.40967016491754116,1.0,252000.0
1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6919275123558484,0.5365853658536586,0.0,0.8612500000000001,0.0,0.3778110944527735,1.0,231000.0
1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5436573311367381,0.2682926829268293,0.0,0.08333333333333348,0.0,0.03748125937031488,0.0,288655.4054054054
1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3953871499176276,0.24390243902439024,1.0,0.25,1.0,0.3613193403298349,1.0,260000.0
1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5172981878088962,0.6902439024390243,1.0,0.20833333333333348,0.0,0.46814092953523234,1.0,250000.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2965403624382207,0.36585365853658547,0.0,0.25,1.0,0.5183658170914542,0.0,288655.4054054054
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8237232289950576,0.2195121951219512,0.0,0.375,0.0,0.6529235382308842,1.0,218000.0
1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1647446457990115,0.0,0.0,0.5416666666666667,1.0,0.14055472263868074,0.0,288655.4054054054
